batch,episode_start,epsilon,mean,std,min,max,p25,p50,p75
0,0,1,-4.89054,0.11465,-5.28266,-4.40587,-4.96211,-4.89399,-4.81964
1,512,0.99999,-4.89247,0.115157,-5.23304,-4.58085,-4.96947,-4.89603,-4.81895
2,1024,0.99998,-4.88982,0.115746,-5.21917,-4.35955,-4.965,-4.89534,-4.82199
3,1536,0.99997,-4.89142,0.117699,-5.23267,-4.40002,-4.97006,-4.90159,-4.81264
4,2048,0.999959,-4.88868,0.119348,-5.34127,-4.29096,-4.96592,-4.89549,-4.81441
5,2560,0.999949,-4.89209,0.120948,-5.29487,-4.33008,-4.96899,-4.89288,-4.82158
6,3072,0.999939,-4.89691,0.114716,-5.26338,-4.46581,-4.97012,-4.90144,-4.8248
7,3584,0.999929,-4.89149,0.116607,-5.31929,-4.48593,-4.97036,-4.89474,-4.82142
8,4096,0.999919,-4.88667,0.114378,-5.28022,-4.53049,-4.9614,-4.89116,-4.81446
9,4608,0.999909,-4.89259,0.116228,-5.28045,-4.522,-4.96665,-4.89697,-4.81802
10,5120,0.999899,-4.88944,0.119503,-5.23029,-4.52101,-4.96928,-4.88937,-4.81472
11,5632,0.999888,-4.88968,0.113822,-5.35649,-4.51788,-4.96931,-4.89121,-4.81292
12,6144,0.999878,-4.8893,0.121102,-5.25092,-4.18917,-4.96774,-4.895,-4.81478
13,6656,0.999868,-4.89122,0.117922,-5.38767,-4.52119,-4.9582,-4.8974,-4.82186
14,7168,0.999858,-4.89199,0.114734,-5.17046,-4.5315,-4.96882,-4.90108,-4.82143
15,7680,0.999848,-4.89691,0.121457,-5.31711,-4.44672,-4.97426,-4.90636,-4.82421
16,8192,0.999838,-4.89412,0.11696,-5.26401,-4.50633,-4.96609,-4.90052,-4.8177
17,8704,0.999828,-4.88946,0.118485,-5.27289,-4.41472,-4.96587,-4.89658,-4.80819
18,9216,0.999818,-4.89473,0.113261,-5.4072,-4.60064,-4.96472,-4.89132,-4.81753
19,9728,0.999807,-4.88731,0.121077,-5.27123,-4.40034,-4.96376,-4.89251,-4.8188
20,10240,0.999797,-4.88901,0.120287,-5.2983,-4.41733,-4.97145,-4.89424,-4.81482
21,10752,0.999787,-4.89088,0.127172,-5.43282,-4.38771,-4.96791,-4.89655,-4.82215
22,11264,0.999777,-4.89384,0.11384,-5.16814,-4.43931,-4.97342,-4.90313,-4.83543
23,11776,0.999767,-4.88968,0.120671,-5.33905,-4.49925,-4.96935,-4.89935,-4.80729
24,12288,0.999757,-4.89951,0.114766,-5.52686,-4.48836,-4.97122,-4.90018,-4.83123
25,12800,0.999747,-4.89456,0.116867,-5.20295,-4.49297,-4.9742,-4.89256,-4.82288
26,13312,0.999736,-4.88911,0.114942,-5.20428,-4.47652,-4.96544,-4.89347,-4.82431
27,13824,0.999726,-4.89214,0.113921,-5.31929,-4.45656,-4.97032,-4.89393,-4.82348
28,14336,0.999716,-4.88228,0.115165,-5.32418,-4.48017,-4.96057,-4.88059,-4.80882
29,14848,0.999706,-4.89631,0.111198,-5.26313,-4.3516,-4.96868,-4.90003,-4.82271
30,15360,0.999696,-4.88942,0.121201,-5.35609,-4.32868,-4.96534,-4.89285,-4.82166
31,15872,0.999686,-4.88705,0.12424,-5.3324,-4.32533,-4.96933,-4.89884,-4.80345
32,16384,0.999676,-4.90077,0.124484,-5.28266,-4.50127,-4.9763,-4.90082,-4.82779
33,16896,0.999665,-4.88967,0.117467,-5.37057,-4.48683,-4.96489,-4.89687,-4.82024
34,17408,0.999655,-4.89614,0.118276,-5.28755,-4.48613,-4.96973,-4.90127,-4.82142
35,17920,0.999645,-4.89124,0.121864,-5.29487,-4.45541,-4.9685,-4.89994,-4.81873
36,18432,0.999635,-4.89406,0.115737,-5.25824,-4.42503,-4.96966,-4.89477,-4.82334
37,18944,0.999625,-4.89619,0.10802,-5.15163,-4.42939,-4.96564,-4.90313,-4.82548
38,19456,0.999615,-4.89234,0.119434,-5.39358,-4.44943,-4.96864,-4.90138,-4.82495
39,19968,0.999605,-4.88929,0.118471,-5.34066,-4.47115,-4.96102,-4.8946,-4.81625
40,20480,0.999594,-4.89233,0.112278,-5.25092,-4.56826,-4.9706,-4.89265,-4.82179
41,20992,0.999584,-4.88361,0.116109,-5.30647,-4.32267,-4.95769,-4.88696,-4.81258
42,21504,0.999574,-4.87865,0.116793,-5.23475,-4.40988,-4.95252,-4.88266,-4.80487
43,22016,0.999564,-4.89303,0.115574,-5.27947,-4.50909,-4.9725,-4.90021,-4.81832
44,22528,0.999554,-4.88929,0.112832,-5.28259,-4.36172,-4.96728,-4.88851,-4.82409
45,23040,0.999544,-4.88892,0.114997,-5.3022,-4.5683,-4.96477,-4.89334,-4.81664
